county,date,other,delta,omicron,epsilon,alpha,gamma,iota,beta,zeta,mu
Alameda,2021-12-01,2,14,0,0,0,0,0,0,0,0
Alameda,2021-12-02,0,22,0,0,0,0,0,0,0,0
Alameda,2021-12-03,2,32,0,0,0,0,0,0,0,0
Alameda,2021-12-04,3,23,0,0,0,0,0,0,0,0
Alameda,2021-12-05,2,7,0,0,0,0,0,0,0,0
Alameda,2021-12-06,2,37,1,0,0,0,0,0,0,0
Alameda,2021-12-07,3,26,0,0,0,0,0,0,0,0
Alameda,2021-12-08,3,29,1,0,0,0,0,0,0,0
Alameda,2021-12-09,9,28,2,0,0,0,0,0,0,0
Alameda,2021-12-10,3,27,3,0,0,0,0,0,0,0
Alameda,2021-12-11,1,14,0,0,0,0,0,0,0,0
Alameda,2021-12-12,0,5,1,0,0,0,0,0,0,0
Alameda,2021-12-13,3,44,7,0,0,0,0,0,0,0
Alameda,2021-12-14,1,39,16,0,0,0,0,0,0,0
Alameda,2021-12-15,5,24,28,0,0,0,0,0,0,0
Alameda,2021-12-16,3,15,16,0,0,0,0,0,0,0
Alameda,2021-12-17,1,12,14,0,0,0,0,0,0,0
Alameda,2021-12-18,2,5,21,0,0,0,0,0,0,0
Alameda,2021-12-19,2,1,4,0,0,0,0,0,0,0
Alameda,2021-12-20,3,4,11,0,0,0,0,0,0,0
Alameda,2021-12-21,2,5,29,0,0,0,0,0,0,0
Alameda,2021-12-22,4,9,86,0,0,0,0,0,0,0
Alameda,2021-12-23,2,10,77,0,0,0,0,0,0,0
Alameda,2021-12-24,0,1,6,0,0,0,0,0,0,0
Alameda,2021-12-26,4,1,32,0,0,0,0,0,0,0
Alameda,2021-12-27,5,10,54,1,0,0,0,0,0,0
Alameda,2021-12-28,7,4,16,2,0,0,0,0,0,0
Alameda,2021-12-29,8,5,26,0,0,0,0,0,0,0
Alameda,2021-12-30,8,9,44,0,0,0,0,0,0,0
Alameda,2021-12-31,2,1,13,0,0,0,0,0,0,0
Alameda,2022-01-01,1,0,2,0,0,0,0,0,0,0
Alameda,2022-01-02,2,0,5,1,0,0,0,0,0,0
Alameda,2022-01-03,5,6,10,1,1,0,0,0,0,0
Alameda,2022-01-04,8,8,115,1,0,0,0,0,0,0
Alameda,2022-01-05,12,11,22,0,0,1,0,0,0,0
Alameda,2022-01-06,7,4,34,1,1,0,0,0,0,0
Alameda,2022-01-07,12,4,25,2,1,0,0,0,0,0
Alameda,2022-01-08,6,3,30,0,0,0,0,0,0,0
Alameda,2022-01-09,7,1,6,0,0,0,0,0,0,0
Alameda,2022-01-10,16,3,16,0,0,0,0,0,0,0
Alameda,2022-01-11,13,5,43,1,1,1,1,0,0,0
Alameda,2022-01-12,16,4,46,0,0,0,0,0,0,0
Alameda,2022-01-13,18,0,57,1,0,0,0,0,0,0
Alameda,2022-01-14,5,3,55,0,2,0,0,0,0,0
Alameda,2022-01-15,10,2,74,0,0,0,0,0,0,0
Alameda,2022-01-16,4,0,19,0,0,0,0,0,0,0
