county,time,start_date,end_date,cases,deaths,est_cases,est_deaths,cumulative_deaths,hospitalized,icu
Alameda,1,2022-06-13,2022-06-19,4838,11,4847,11,1925,106,13
Alameda,2,2022-06-20,2022-06-26,5303,8,5313,8,1933,148,14
Alameda,3,2022-06-27,2022-07-03,5339,12,5350,12,1945,137,11
Alameda,4,2022-07-04,2022-07-10,5345,7,5356,7,1952,139,19
Alameda,5,2022-07-11,2022-07-17,5026,7,5037,7,1959,170,29
Alameda,6,2022-07-18,2022-07-24,4494,11,4504,11,1970,158,20
Alameda,7,2022-07-25,2022-07-31,3880,11,3889,11,1981,194,20
Alameda,8,2022-08-01,2022-08-07,3453,11,3462,11,1992,149,21
Alameda,9,2022-08-08,2022-08-14,2651,8,2658,8,2000,139,21
Alameda,10,2022-08-15,2022-08-21,2257,9,2264,9,2009,132,21
Alameda,11,2022-08-22,2022-08-28,2062,12,2068,12,2021,123,22
Alameda,12,2022-08-29,2022-09-04,1606,5,1612,5,2026,109,17
Alameda,13,2022-09-05,2022-09-11,1476,2,1482,2,2028,103,18
Alameda,14,2022-09-12,2022-09-18,1285,6,1291,6,2034,85,7
Alameda,15,2022-09-19,2022-09-25,1110,3,1115,3,2037,81,5
Alameda,16,2022-09-26,2022-10-02,1126,2,1132,2,2039,53,4
Alameda,17,2022-10-03,2022-10-09,1023,3,1029,3,2042,55,13
Alameda,18,2022-10-10,2022-10-16,894,5,900,5,2047,69,12
Alameda,19,2022-10-17,2022-10-23,890,4,897,4,2051,57,10
Alameda,20,2022-10-24,2022-10-30,1001,5,1011,5,2056,55,5
Alameda,21,2022-10-31,2022-11-06,1276,8,1290,9,2064,64,9
Alameda,22,2022-11-07,2022-11-13,1359,3,1376,3,2067,84,8
Alameda,23,2022-11-14,2022-11-20,1661,9,1685,10,2076,97,16
Alameda,24,2022-11-21,2022-11-27,1979,4,2012,5,2080,108,15
Alameda,25,2022-11-28,2022-12-04,2780,7,2835,9,2087,129,18
Alameda,26,2022-12-05,2022-12-11,2711,3,2779,4,2090,155,17
Alameda,27,2022-12-12,2022-12-18,2262,4,2340,8,2094,170,18
Alameda,28,2022-12-19,2022-12-25,1987,1,2110,6,2095,156,23
Alameda,29,2022-12-26,2023-01-01,1710,3,3680,39,2098,179,21
Alpine,1,2022-06-13,2022-06-19,0,0,0,0,0,0,0
Alpine,2,2022-06-20,2022-06-26,0,0,0,0,0,0,0
Alpine,3,2022-06-27,2022-07-03,0,0,0,0,0,0,0
Alpine,4,2022-07-04,2022-07-10,1,0,1,0,0,0,0
Alpine,5,2022-07-11,2022-07-17,0,0,0,0,0,0,0
Alpine,6,2022-07-18,2022-07-24,0,0,0,0,0,0,0
Alpine,7,2022-07-25,2022-07-31,0,0,0,0,0,0,0
Alpine,8,2022-08-01,2022-08-07,1,0,1,0,0,0,0
Alpine,9,2022-08-08,2022-08-14,0,0,0,0,0,0,0
Alpine,10,2022-08-15,2022-08-21,1,0,1,0,0,0,0
Alpine,11,2022-08-22,2022-08-28,1,0,1,0,0,0,0
Alpine,12,2022-08-29,2022-09-04,0,0,0,0,0,0,0
Alpine,13,2022-09-05,2022-09-11,1,0,1,0,0,0,0
Alpine,14,2022-09-12,2022-09-18,0,0,0,0,0,0,0
Alpine,15,2022-09-19,2022-09-25,0,0,0,0,0,0,0
Alpine,16,2022-09-26,2022-10-02,1,0,1,0,0,0,0
Alpine,17,2022-10-03,2022-10-09,0,0,0,0,0,0,0
Alpine,18,2022-10-10,2022-10-16,1,0,1,0,0,0,0
Alpine,19,2022-10-17,2022-10-23,0,0,0,0,0,0,0
Alpine,20,2022-10-24,2022-10-30,0,0,0,0,0,0,0
Alpine,21,2022-10-31,2022-11-06,0,0,0,0,0,0,0
Alpine,22,2022-11-07,2022-11-13,0,0,0,0,0,0,0
Alpine,23,2022-11-14,2022-11-20,2,0,2,0,0,0,0
Alpine,24,2022-11-21,2022-11-27,0,0,0,0,0,0,0
Alpine,25,2022-11-28,2022-12-04,0,0,0,0,0,0,0
Alpine,26,2022-12-05,2022-12-11,0,0,0,0,0,0,0
Alpine,27,2022-12-12,2022-12-18,0,0,0,0,0,0,0
Alpine,28,2022-12-19,2022-12-25,0,0,0,0,0,0,0
Alpine,29,2022-12-26,2023-01-01,0,0,0,0,0,0,0
Amador,1,2022-06-13,2022-06-19,77,0,77,0,87,1,0
Amador,2,2022-06-20,2022-06-26,99,0,99,0,87,3,2
Amador,3,2022-06-27,2022-07-03,97,1,97,1,88,5,2
Amador,4,2022-07-04,2022-07-10,89,0,89,0,88,2,2
Amador,5,2022-07-11,2022-07-17,86,0,86,0,88,5,2
