county,date,other,delta,omicron,epsilon,alpha,iota,gamma,zeta,mu,beta
Alameda,2021-12-01,1,13,0,0,0,0,0,0,0,0
Alameda,2021-12-02,0,24,0,0,0,0,0,0,0,0
Alameda,2021-12-03,1,28,0,0,0,0,0,0,0,0
Alameda,2021-12-04,4,21,0,0,0,0,0,0,0,0
Alameda,2021-12-05,2,6,0,0,0,0,0,0,0,0
Alameda,2021-12-06,5,36,1,0,0,0,0,0,0,0
Alameda,2021-12-07,2,20,0,0,0,0,0,0,0,0
Alameda,2021-12-08,3,30,1,0,0,0,0,0,0,0
Alameda,2021-12-09,10,28,3,0,0,0,0,0,0,0
Alameda,2021-12-10,3,29,2,0,0,0,0,0,0,0
Alameda,2021-12-11,1,11,1,0,0,0,0,0,0,0
Alameda,2021-12-12,0,5,1,0,0,0,0,0,0,0
Alameda,2021-12-13,3,40,9,0,0,0,0,0,0,0
Alameda,2021-12-14,2,43,17,0,0,0,0,0,0,0
Alameda,2021-12-15,5,23,24,0,0,0,0,0,0,0
Alameda,2021-12-16,3,15,19,0,0,0,0,0,0,0
Alameda,2021-12-17,1,11,10,0,0,0,0,0,0,0
Alameda,2021-12-18,2,6,23,1,0,0,0,0,0,0
Alameda,2021-12-19,1,1,3,0,0,0,0,0,0,0
Alameda,2021-12-20,3,8,9,0,0,0,0,0,0,0
Alameda,2021-12-21,3,7,26,1,1,0,0,0,0,0
Alameda,2021-12-22,5,10,94,0,0,0,0,0,0,0
Alameda,2021-12-23,3,11,74,0,0,0,0,0,0,0
Alameda,2021-12-24,0,0,7,0,0,0,0,0,0,0
Alameda,2021-12-25,0,0,1,0,0,0,0,0,0,0
Alameda,2021-12-26,4,1,30,1,0,0,0,0,0,0
Alameda,2021-12-27,8,5,53,1,0,1,0,0,0,0
Alameda,2021-12-28,8,6,22,0,0,0,0,0,0,0
Alameda,2021-12-29,7,5,28,1,0,0,0,0,0,0
Alameda,2021-12-30,7,8,49,0,0,0,0,0,0,0
Alameda,2021-12-31,3,2,13,0,0,0,0,0,0,0
Alameda,2022-01-01,1,1,2,0,0,0,0,0,0,0
Alameda,2022-01-02,2,0,6,1,0,0,0,0,0,0
Alameda,2022-01-03,3,2,10,0,0,0,0,0,0,0
Alameda,2022-01-04,8,8,112,1,1,0,1,0,0,0
Alameda,2022-01-05,10,7,21,0,0,0,1,0,0,0
Alameda,2022-01-06,8,2,33,1,1,0,0,0,0,0
Alameda,2022-01-07,12,5,25,1,1,0,0,0,0,0
Alameda,2022-01-08,8,1,29,0,0,0,0,0,0,0
Alameda,2022-01-09,7,0,7,0,0,0,0,0,0,0
Alameda,2022-01-10,17,4,20,0,0,0,0,0,0,0
Alameda,2022-01-11,12,7,43,1,0,0,0,0,0,0
Alameda,2022-01-12,18,4,41,0,0,0,0,0,0,0
Alameda,2022-01-13,22,3,59,1,0,0,0,0,0,0
Alameda,2022-01-14,4,3,54,1,1,0,0,2,0,0
Alameda,2022-01-15,8,2,75,0,0,0,0,0,0,0
Alameda,2022-01-16,4,0,19,0,0,0,0,0,0,0
