region,county
Bay,Alameda
Bay,Contra Costa
Bay,Marin
Bay,Napa
Bay,San Francisco
Bay,San Mateo
Bay,Santa Clara
Bay,Santa Cruz
Bay,Solano
Bay,Sonoma
Central,Fresno
Central,Inyo
Central,Kings
Central,Madera
Central,Mariposa
Central,Merced
Central,Mono
Central,Monterey
Central,San Benito
Central,San Joaquin
Central,Stanislaus
Central,Tulare
Central,Tuolumne
Lower Southern,Imperial
Lower Southern,Orange
Lower Southern,Riverside
Lower Southern,San Bernardino
Lower Southern,San Diego
North,Alpine
North,Amador
North,Butte
North,Calaveras
North,Colusa
North,Del Norte
North,El Dorado
North,Glenn
North,Humboldt
North,Lake
North,Lassen
North,Mendocino
North,Modoc
North,Nevada
North,Placer
North,Plumas
North,Sacramento
North,Shasta
North,Sierra
North,Siskiyou
North,Sutter
North,Tehama
North,Trinity
North,Yolo
North,Yuba
Upper Southern,Kern
Upper Southern,Los Angeles
Upper Southern,San Luis Obispo
Upper Southern,Santa Barbara
Upper Southern,Ventura
