county,date,other,delta,omicron,alpha,epsilon,gamma,iota,zeta,beta,mu
Alameda,2021-12-01,1,21,0,0,0,0,0,0,0,0
Alameda,2021-12-02,1,29,0,0,0,0,0,0,0,0
Alameda,2021-12-03,2,42,0,0,0,0,0,0,0,0
Alameda,2021-12-04,3,19,0,0,0,0,0,0,0,0
Alameda,2021-12-05,2,7,0,0,0,0,0,0,0,0
Alameda,2021-12-06,6,40,1,0,0,0,0,0,0,0
Alameda,2021-12-07,5,34,0,0,0,0,0,0,0,0
Alameda,2021-12-08,4,42,1,0,0,0,0,0,0,0
Alameda,2021-12-09,10,29,3,0,0,0,0,0,0,0
Alameda,2021-12-10,3,30,3,0,0,0,0,0,0,0
Alameda,2021-12-11,1,11,1,0,0,0,0,0,0,0
Alameda,2021-12-12,0,5,1,0,0,0,0,0,0,0
Alameda,2021-12-13,3,47,10,0,0,0,0,0,0,0
Alameda,2021-12-14,1,39,15,0,0,0,0,0,0,0
Alameda,2021-12-15,6,27,26,0,0,0,0,0,0,0
Alameda,2021-12-16,4,14,26,0,0,0,0,0,0,0
Alameda,2021-12-17,3,13,15,0,0,0,0,0,0,0
Alameda,2021-12-18,4,8,23,0,0,0,0,0,0,0
Alameda,2021-12-19,1,1,8,0,0,0,0,0,0,0
Alameda,2021-12-20,3,5,11,0,0,0,0,0,0,0
Alameda,2021-12-21,3,7,31,1,0,0,0,0,0,0
Alameda,2021-12-22,4,8,89,0,0,0,0,0,0,0
Alameda,2021-12-23,2,11,75,0,0,0,0,0,0,0
Alameda,2021-12-24,0,0,7,0,0,0,0,0,0,0
Alameda,2021-12-26,4,1,32,0,0,0,0,0,0,0
Alameda,2021-12-27,3,8,56,0,2,0,0,0,0,0
Alameda,2021-12-28,7,6,22,0,0,0,0,0,0,0
Alameda,2021-12-29,9,4,29,0,1,0,0,0,0,0
Alameda,2021-12-30,5,9,47,0,0,0,0,0,0,0
Alameda,2021-12-31,5,0,14,0,0,0,0,0,0,0
Alameda,2022-01-01,1,0,3,0,0,0,0,0,0,0
Alameda,2022-01-02,2,0,5,0,2,0,0,0,0,0
Alameda,2022-01-03,4,3,16,0,1,0,0,0,0,0
Alameda,2022-01-04,11,9,112,0,0,1,0,0,0,0
Alameda,2022-01-05,13,7,18,0,0,0,0,0,0,0
Alameda,2022-01-06,7,2,35,0,1,0,0,0,0,0
Alameda,2022-01-07,10,6,25,2,2,0,0,0,0,0
Alameda,2022-01-08,8,1,25,0,1,0,0,0,0,0
Alameda,2022-01-09,5,1,5,0,0,0,0,0,0,0
Alameda,2022-01-10,13,3,18,0,0,0,0,0,0,0
Alameda,2022-01-11,12,6,47,0,1,0,1,0,0,0
Alameda,2022-01-12,22,3,46,0,0,0,0,0,0,0
Alameda,2022-01-13,24,2,55,0,1,0,0,0,0,0
Alameda,2022-01-14,5,3,58,0,0,1,0,1,0,0
Alameda,2022-01-15,10,3,74,0,0,0,0,0,0,0
Alameda,2022-01-16,3,0,23,0,0,0,0,0,0,0
Alameda,2022-01-17,6,0,27,0,1,0,0,0,0,0
Alameda,2022-01-18,6,4,33,0,0,0,0,0,0,0
