date,county,quantile,hosp_census_with_covid,cases,icu,death,cum_death,prev_cum_est_deaths,total_cum_death
2021-12-19,California,0.5,3639,60969,886,358,358,76715,77073
2021-12-19,California,0.05,3426,38619.850000000006,821,288,288,76715,77003
2021-12-19,California,0.95,3859,103151.49999999999,955,447,447,76715,77162
2021-12-26,California,0.5,4675,100192.5,923,360,723,76715,77438
2021-12-26,California,0.05,4420,62356.049999999996,855,286,610,76715,77325
2021-12-26,California,0.95,4951,177303.09999999998,991,457,855,76715,77570
2022-01-02,California,0.5,7291,187752.5,1213,458,1187,76715,77902
2022-01-02,California,0.05,6918.95,113822.15,1133.9499999999998,360,1026,76715,77741
2022-01-02,California,0.95,7698,350549.2999999999,1298,590,1369,76715,78084
2022-01-09,California,0.5,11455,305443.5,1782,703,1898,76715,78613
2022-01-09,California,0.05,10900.95,181667.65,1669.9499999999998,544,1652,76715,78367
2022-01-09,California,0.95,12047,585523.9499999998,1898,925,2178,76715,78893
2022-01-16,California,0.5,15078,354989,2398,1048,2961,76715,79676
2022-01-16,California,0.05,14363.95,215289.75,2251,799,2583,76715,79298
2022-01-16,California,0.95,15837,675708.6999999998,2551,1404.0499999999993,3407,76715,80122
2022-01-23,California,0.5,15921,321340,2700,1294,4282,76715,80997
2022-01-23,California,0.05,15184,202443.15000000002,2539,997,3739,76715,80454
2022-01-23,California,0.95,16689.1,567138.5999999999,2864,1741,4899.049999999999,76715,81614.05
2022-01-30,California,0.5,14138,240200.5,2573,1316.5,5612,76715,82327
2022-01-30,California,0.05,13490,156268.15,2419,1014.9499999999999,4966.95,76715,81681.95
2022-01-30,California,0.95,14821.05,405623.69999999984,2729,1737,6369.0999999999985,76715,83084.1
2022-02-06,California,0.5,11206,168023.5,2177,1151,6790,76715,83505
2022-02-06,California,0.05,10715,110235.9,2050,905,6052,76715,82767
2022-02-06,California,0.95,11732,274159.6,2312,1501,7619.149999999998,76715,84334.15
2022-02-13,California,0.5,8335,114854,1705,915,7724,76715,84439
2022-02-13,California,0.05,7954,75780.95,1601,723,6926,76715,83641
2022-02-13,California,0.95,8730.099999999999,186280.14999999997,1815.0499999999993,1185,8604.05,76715,85319.05
2022-02-20,California,0.5,6018,80034.5,1275,684,8414,76715,85129
2022-02-20,California,0.05,5729,53206.35,1196,543,7589,76715,84304
2022-02-20,California,0.95,6314,129977.19999999998,1360,874,9322.05,76715,86037.05
2022-02-27,California,0.5,4318,57349,933,496,8913.5,76715,85628.5
2022-02-27,California,0.05,4105,37645.2,869,395,8081,76715,84796
2022-02-27,California,0.95,4542,94047.99999999999,1001,635,9840,76715,86555
2022-03-06,California,0.5,3138,42857,680,361,9283,76715,85998
2022-03-06,California,0.05,2968,27701.7,627,284,8422.95,76715,85137.95
2022-03-06,California,0.95,3316,71357.89999999997,734,462,10217.05,76715,86932.05
2022-03-13,California,0.5,2322,33011.5,498,262,9546,76715,86261
2022-03-13,California,0.05,2184.95,21286.95,454,207,8682.9,76715,85397.9
2022-03-13,California,0.95,2463,55956.899999999994,541,337,10483.05,76715,87198.05
2022-03-20,California,0.5,1770,27291.5,370,194,9742,76715,86457
2022-03-20,California,0.05,1653.9499999999998,17233.75,334.94999999999993,151,8873.900000000001,76715,85588.9
2022-03-20,California,0.95,1888,46780.79999999998,407,250,10682,76715,87397
2022-03-27,California,0.5,1400,23367.5,282,148.5,9893,76715,86608
2022-03-27,California,0.05,1301,14879.55,252,113,9024.95,76715,85739.95
2022-03-27,California,0.95,1505,40266.64999999998,314,192,10833.05,76715,87548.05
2022-04-03,California,0.5,1164,21950.5,223,117,10010,76715,86725
2022-04-03,California,0.05,1075,13850.9,196,88,9142.95,76715,85857.95
2022-04-03,California,0.95,1255.0499999999993,38057.94999999998,250,154,10953,76715,87668
2022-04-10,California,0.5,1025,21449,185,97,10108,76715,86823
2022-04-10,California,0.05,945,13542,161,71,9240,76715,85955
2022-04-10,California,0.95,1113,36785.149999999994,210,129,11053.05,76715,87768.05
2022-04-17,California,0.5,962,22447,162,84,10194,76715,86909
2022-04-17,California,0.05,883,14619.7,139,62,9324.949999999999,76715,86039.95
2022-04-17,California,0.95,1044,36711.749999999985,185,114,11139,76715,87854
2022-04-24,California,0.5,973,25308,152,80,10274.5,76715,86989.5
2022-04-24,California,0.05,895,16796.8,130,58,9403,76715,86118
2022-04-24,California,0.95,1056,40604.2,174,107,11222,76715,87937
2022-05-01,California,0.5,1058,29992.5,153,80,10355,76715,87070
2022-05-01,California,0.05,977.9499999999999,20101,132,58,9479,76715,86194
