date,county,quantile,hosp_census_with_covid,cases,icu,death,prev_cum_est_deaths,cum_death
2021-12-25,California,0.5,4530,106415,940,326,NA,NA
2021-12-25,California,0.05,4276,66373.55,875,248,NA,NA
2021-12-25,California,0.95,4809,181842.49999999997,1009,430,NA,NA
2022-01-01,California,0.5,6844,200489.5,1151,405,NA,NA
2022-01-01,California,0.05,6473,122311.59999999999,1074,302,NA,NA
2022-01-01,California,0.95,7250,354106.89999999997,1232,546,NA,NA
2022-01-08,California,0.5,11041,343508.5,1692,636,NA,NA
2022-01-08,California,0.05,10461.949999999999,210057.5,1587,471,NA,NA
2022-01-08,California,0.95,11662.05,622800.9499999994,1808,873,NA,NA
2022-01-15,California,0.5,15048,416265,2361,1006,NA,NA
2022-01-15,California,0.05,14255,256635.95,2217,739,NA,NA
2022-01-15,California,0.95,15910,750268.6,2513,1389,NA,NA
2022-01-22,California,0.5,16296.5,381344,2736,1305,NA,NA
2022-01-22,California,0.05,15468.949999999999,244427.24999999997,2578,961,NA,NA
2022-01-22,California,0.95,17200.05,656613.9999999999,2910,1792.0499999999993,NA,NA
2022-01-29,California,0.5,14673,287828.5,2658,1359.5,NA,NA
2022-01-29,California,0.05,13948,189449.59999999998,2502,1013,NA,NA
2022-01-29,California,0.95,15474,474024.44999999995,2831,1839.0499999999993,NA,NA
2022-02-05,California,0.5,11693,200113.5,2262,1192,NA,NA
2022-02-05,California,0.05,11137,133914.9,2128,908,NA,NA
2022-02-05,California,0.95,12322.05,320615.69999999995,2414,1601,NA,NA
2022-02-12,California,0.5,8718,138882.5,1775,944,NA,NA
2022-02-12,California,0.05,8292.9,92713.65,1664.9499999999998,722,NA,NA
2022-02-12,California,0.95,9186,218603.44999999998,1894,1243,NA,NA
2022-02-19,California,0.5,6271,95928.5,1322,703,NA,NA
2022-02-19,California,0.05,5958,63945.34999999999,1237,543,NA,NA
2022-02-19,California,0.95,6614,151312.89999999994,1414,921.0499999999993,NA,NA
2022-02-26,California,0.5,4468,68439,957,509,NA,NA
