date,county,quantile,hosp_census_with_covid,cases,icu,death,cum_death,prev_cum_est_deaths,total_cum_death,Rt
2021-12-20,California,0.5,3568,70186,875,357,0,76791,77148,NA
2021-12-20,California,0.05,3370,50178.9,813,295,0,76791,77086,NA
2021-12-20,California,0.95,3771,100706.34999999999,940,429,0,76791,77220,NA
2021-12-27,California,0.5,4808,127533.5,920,368,0,77293,77661,NA
2021-12-27,California,0.05,4562.95,90393.75,856,302,0,77293,77595,NA
2021-12-27,California,0.95,5064.049999999999,188664.74999999997,989,446,0,77293,77739,NA
2022-01-03,California,0.5,7972,246038.5,1278,499,0,77785,78284,NA
2022-01-03,California,0.05,7608.9,169888.2,1198.95,408,0,77785,78193,NA
2022-01-03,California,0.95,8362,373474.6999999998,1364,614,0,77785,78399,NA
2022-01-10,California,0.5,12532,365092,1930,806,0,78370,79176,NA
2022-01-10,California,0.05,11962,253703.5,1815,649,0,78370,79019,NA
2022-01-10,California,0.95,13146,554467.5499999999,2051,1002,0,78370,79372,NA
2022-01-17,California,0.5,15950,386043,2566,1194,0,79310,80504,NA
2022-01-17,California,0.05,15236,273102.75,2422,962,0,79310,80272,NA
2022-01-17,California,0.95,16694.05,574379.1499999999,2717,1500,0,79310,80810,NA
2022-01-24,California,0.5,16394,324111.5,2825,1430,0,80730,82160,NA
2022-01-24,California,0.05,15695.949999999999,237268.05,2670,1157,0,80730,81887,NA
2022-01-24,California,0.95,17145.05,463464.79999999976,2988,1791,0,80730,82521,NA
2022-01-31,California,0.5,14339,230110,2645,1422,0,82493,83915,NA
2022-01-31,California,0.05,13716.9,169636.8,2499,1161,0,82493,83654,NA
2022-01-31,California,0.95,14988,323230.54999999976,2800,1768.0499999999993,0,82493,84261.05,NA
2022-02-07,California,0.5,11251,156569.5,2200,1227,0,84389,85616,NA
2022-02-07,California,0.05,10764,117302.5,2078,1002,0,84389,85391,NA
2022-02-07,California,0.95,11760.05,217349.14999999997,2330,1506.0499999999993,0,84389,85895.05,NA
2022-02-14,California,0.5,8298,106373.5,1693,959,0,86157,87116,NA
2022-02-14,California,0.05,7933,78877.84999999999,1593,791,0,86157,86948,NA
2022-02-14,California,0.95,8689,146801.64999999997,1799,1166,0,86157,87323,NA
2022-02-21,California,0.5,5945,74296,1242,709,0,87581,88290,NA
2022-02-21,California,0.05,5666.95,54712.95,1164,588,0,87581,88169,NA
2022-02-21,California,0.95,6233,103727.54999999997,1324,862,0,87581,88443,NA
