county,date,quantile,hosp_census_with_covid,icu,cases,deaths,cumulative_deaths,Rt
Alameda,2022-06-19,0.5,122,15,2457.5,9,1928,1.1589755552271424
Alameda,2022-06-19,0.04999999999999999,95,8,1531.2999999999995,3,1922,NA
Alameda,2022-06-19,0.95,150.04999999999995,24,3629.499999999999,15,1934,1.2698605555951792
Alameda,2022-06-26,0.5,141,17,2941,8,1937,1.105521989280554
Alameda,2022-06-26,0.04999999999999999,113,10,1876.65,3,1928,NA
Alameda,2022-06-26,0.95,174,26.049999999999955,4345.749999999999,15,1946,1.180405003478987
Alameda,2022-07-03,0.5,157,19,3175.5,10,1947,1.0731502276433356
Alameda,2022-07-03,0.04999999999999999,127,12,2033.8,4,1937,NA
Alameda,2022-07-03,0.95,194,29,4839.15,18,1959,1.1425252253549962
Alameda,2022-07-10,0.5,169,21,3380,11,1958,1.0452748588815255
Alameda,2022-07-10,0.04999999999999999,137,13,2088.95,5,1946,NA
Alameda,2022-07-10,0.95,208,32,5044.699999999999,19,1973,1.1126279583864511
Alameda,2022-07-17,0.5,176,23,3465.5,11,1970,1.0068896720141889
Alameda,2022-07-17,0.04999999999999999,143.95,14,2175.25,5,1955,NA
Alameda,2022-07-17,0.95,215,32.049999999999955,5029.949999999999,20,1987,1.0688752865758122
Alameda,2022-07-24,0.5,177,23,3380.5,12,1982,0.968959856446316
Alameda,2022-07-24,0.04999999999999999,146,15,2182.9,5.949999999999989,1965,NA
Alameda,2022-07-24,0.95,212,34,4962.699999999997,22,2003,1.0288860780701068
Alameda,2022-07-31,0.5,174,22,3254,12,1994,0.9334141166440164
Alameda,2022-07-31,0.04999999999999999,143,14,2027.7,5,1975,NA
Alameda,2022-07-31,0.95,212,33,4773.449999999999,20,2018,0.9913138496992908
Alameda,2022-08-07,0.5,163,21,2974,12,2007,0.9166507527386984
Alameda,2022-08-07,0.04999999999999999,133,13,1941.6,5,1985,NA
Alameda,2022-08-07,0.95,197,32,4491.799999999999,21,2033,0.978919232054303
Alameda,2022-08-14,0.5,148,20,2680.5,11,2018,0.9009367230652534
Alameda,2022-08-14,0.04999999999999999,120.95,12,1725.9499999999998,5,1996,NA
Alameda,2022-08-14,0.95,182,30,3946.199999999999,19,2045.05,0.96609666988988
Alameda,2022-08-21,0.5,134,18,2411.5,10,2029,0.8831678290097962
Alameda,2022-08-21,0.04999999999999999,106,10,1465,4,2004,NA
Alameda,2022-08-21,0.95,163,27,3552.2,18,2056,0.9467845116626136
Alameda,2022-08-28,0.5,120,16,2118,9,2037,0.8664174787690968
Alameda,2022-08-28,0.04999999999999999,95,9,1353.75,4,2011,NA
Alameda,2022-08-28,0.95,149.04999999999995,25,3198.2,16,2066,0.9261209987001632
Alameda,2022-09-04,0.5,106,14,1834.5,8,2045,0.8579387990585519
Alameda,2022-09-04,0.04999999999999999,82.94999999999999,8,1153.85,3,2018,NA
Alameda,2022-09-04,0.95,129,22,2769.1499999999996,14,2075,0.916070786918817
Alameda,2022-09-11,0.5,92,12,1607.5,7,2053,0.8584268717962987
Alameda,2022-09-11,0.04999999999999999,71,6,1025.85,3,2025,NA
Alameda,2022-09-11,0.95,113.04999999999995,20,2385.0499999999997,13,2084,0.9215024044187484
Alameda,2022-09-18,0.5,79,10,1390.5,6,2059,0.8779650904495504
Alameda,2022-09-18,0.04999999999999999,61,5,868.95,2,2031,NA
Alameda,2022-09-18,0.95,100,17,2126.4999999999995,11,2090,0.9410129685015663
Alameda,2022-09-25,0.5,69.5,9,1225.5,5,2064,0.9123344001418424
Alameda,2022-09-25,0.04999999999999999,54,5,768.9000000000001,1,2036,NA
Alameda,2022-09-25,0.95,88,15,1857.3499999999997,10,2097.05,0.9696553655130006
Alameda,2022-10-02,0.5,62,8,1134,4.5,2069,0.950659419618198
Alameda,2022-10-02,0.04999999999999999,47,3,726,1,2040,NA
Alameda,2022-10-02,0.95,80,14,1740,9,2102,1.010360076459276
Alameda,2022-10-09,0.5,59,7,1094,4,2073,0.9822203796933612
Alameda,2022-10-09,0.04999999999999999,43,3,677.8499999999999,1,2044,NA
Alameda,2022-10-09,0.95,76,13,1668.05,8,2106,1.0427097905421256
Alameda,2022-10-16,0.5,58,7,1093.5,4,2077,1.0112360029299383
Alameda,2022-10-16,0.04999999999999999,42,3,683.9,1,2048,NA
Alameda,2022-10-16,0.95,74,13,1633.05,8,2111.05,1.075929576113105
Alameda,2022-10-23,0.5,58,7,1105,4,2081,1.0638925421157834
Alameda,2022-10-23,0.04999999999999999,43,3,709.9,1,2051,NA
Alameda,2022-10-23,0.95,74,13,1629.3999999999996,8,2116,1.1361858515407792
Alameda,2022-10-30,0.5,60,8,1202,4,2085,1.124483575464597
Alameda,2022-10-30,0.04999999999999999,46,3,745.8499999999999,1,2054.95,NA
Alameda,2022-10-30,0.95,78,13,1750.1,8,2121,1.2105547566280952
Alameda,2022-11-06,0.5,67,8,1362,4,2090,1.1604244137303237
Alameda,2022-11-06,0.04999999999999999,50,4,851.9,1,2058.95,NA
Alameda,2022-11-06,0.95,85,14,2050.05,9,2126,1.2541383918570947
Alameda,2022-11-13,0.5,77,9,1616.5,5,2095,1.1798357454549868
Alameda,2022-11-13,0.04999999999999999,60,5,1011.65,1,2063,NA
Alameda,2022-11-13,0.95,98,15,2408.3499999999995,10,2131,1.2747198905491708
Alameda,2022-11-20,0.5,92,11,1923,5,2100,1.1791172378898809
Alameda,2022-11-20,0.04999999999999999,73,5,1213.6,2,2068.95,NA
Alameda,2022-11-20,0.95,116,18,2943.5,10,2137.05,1.2851623452293812
Alameda,2022-11-27,0.5,110,13,2286,6,2107,1.1610323513340854
Alameda,2022-11-27,0.04999999999999999,88,7,1447.85,2.9499999999999886,2074,NA
Alameda,2022-11-27,0.95,137,21,3442.05,12,2143.05,1.259940190766394
Alameda,2022-12-04,0.5,130,16,2724,8,2115,1.1186475024610147
Alameda,2022-12-04,0.04999999999999999,103,9,1735.6999999999998,3,2081,NA
Alameda,2022-12-04,0.95,159.04999999999995,24,3984,14,2152,1.1996210269553926
Alameda,2022-12-11,0.5,148,18,3009,9,2124,1.0580720739562914
Alameda,2022-12-11,0.04999999999999999,119,11,1853.7999999999995,4,2088,NA
Alameda,2022-12-11,0.95,180,28,4518.200000000001,16,2163.05,1.130669450098937
Alameda,2022-12-18,0.5,161,20,3174,10,2135,0.990125573978326
Alameda,2022-12-18,0.04999999999999999,126.95,11,1934.85,5,2098,NA
Alameda,2022-12-18,0.95,192,29,4712.25,18,2175.05,1.052567773356092
Alameda,2022-12-25,0.5,160,20,3081,11,2146,0.9251536063680376
Alameda,2022-12-25,0.04999999999999999,130,13,1976.7,5,2107,NA
Alameda,2022-12-25,0.95,192,30,4633.999999999999,19,2190,0.9869461126005984
Alameda,2023-01-01,0.5,152,20,2823.5,11,2157,0.8637774468326123
Alameda,2023-01-01,0.04999999999999999,121,12,1777.85,4,2117,NA
Alameda,2023-01-01,0.95,184,30,4254.699999999999,19,2200.1,0.9259340536491036
Alameda,2023-01-08,0.5,134,18,2369.5,10,2167,0.8379670624942972
Alameda,2023-01-08,0.04999999999999999,106,10,1526.75,4,2127.95,NA
Alameda,2023-01-08,0.95,166,27,3532.45,18,2214,0.903686580588242
Alameda,2023-01-15,0.5,114,15,2009.5,9,2177,0.8492545292003271
Alameda,2023-01-15,0.04999999999999999,90,8,1253.85,3,2135,NA
Alameda,2023-01-15,0.95,142,24,2986.1499999999996,15,2224.05,0.9251140967850005
Alameda,2023-01-22,0.5,97,13,1673,7,2184,0.8710922850795029
